OrderItemId,Store,Product,Gallons,Delivered Date Time
5285165,Jumbo 663,DSL,7610,2020-01-30 01:09:06.4900000
5285164,Jumbo 663,DSL,7650,2020-01-29 19:54:06.0266667
5285162,Jumbo 663,DSL,7570,2020-01-29 17:35:09.4333333
5285160,Jumbo 663,DSL,7500,2020-01-29 08:29:20.6433333
5279188,Jumbo 663,DSL,7500,2020-01-30 08:21:15.2633333
5279149,Jumbo 663,DSL,7570,2020-01-28 20:13:24.0900000
5279147,Jumbo 663,DSL,7650,2020-01-28 07:52:02.2766667
5276717,Jumbo 663,DSL,7500,2020-01-27 23:02:03.7266667
5273049,Jumbo 663,DSL,7770,2020-01-27 10:34:22.9700000
5272273,Jumbo 663,DSL,7650,2020-01-27 04:29:36.4600000
5272264,Jumbo 663,DSL,7570,2020-01-26 20:21:36.1766667
5270547,Jumbo 663,DSL,7570,2020-01-26 12:00:13.0300000
5270546,Jumbo 663,DSL,7500,2020-01-26 11:04:58.8833333
5265658,Jumbo 663,DSL,7690,2020-01-25 20:33:55.4233333
5265657,Jumbo 663,DSL,7740,2020-01-25 07:52:21.5633333
5263938,Jumbo 663,DSL,7500,2020-01-24 08:43:43.4766667
5261137,Jumbo 663,DSL,7500,2020-01-24 17:39:06.4733333
5261134,Jumbo 663,DSL,7500,2020-01-27 10:57:43.3033333
5260231,Jumbo 663,DSL,7500,2020-01-24 11:21:59.1266667
5260229,Jumbo 663,DSL,7700,2020-01-24 07:50:52.7300000
5259350,Jumbo 663,DSL,7500,2020-01-23 22:35:13.2866667
5255659,Jumbo 663,DSL,7770,2020-01-23 13:03:43.5766667
5255658,Jumbo 663,DSL,7770,2020-01-23 09:56:01.7500000
5255657,Jumbo 663,DSL,7770,
5251897,Jumbo 663,DSL,7650,2020-01-22 01:09:13.7466667
5250970,Jumbo 663,DSL,7740,2020-01-21 21:57:58.2933333
5248107,Jumbo 663,DSL,7570,2020-01-23 00:18:54.7500000
5248106,Jumbo 663,DSL,7655,2020-01-22 21:46:13.0033333
5248068,Jumbo 663,DSL,7690,
5248067,Jumbo 663,DSL,7690,2020-01-22 13:57:21.5266667
5248066,Jumbo 663,DSL,7690,2020-01-22 11:19:09.4500000
5248065,Jumbo 663,DSL,7690,2020-01-22 08:15:38.4000000
5244798,Jumbo 663,DSL,7650,2020-01-21 14:26:41.2300000
5244765,Jumbo 663,DSL,7650,2020-01-21 19:50:15.5866667
5244764,Jumbo 663,DSL,7650,2020-01-21 18:29:12.1766667
5244763,Jumbo 663,DSL,7650,2020-01-21 18:31:05.8633333
5244762,Jumbo 663,DSL,7650,
