Store,Product,Gross Volume,Net Volume,Temperature,datetime_column,New_Date,Gallons,OrderItemId
Jumbo 663,DSL,39473.07,39637.231,50.704,2020-02-17 00:59:16,2020-02-17,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,39596.927,39762.108,50.680333,2020-02-16 23:57:36,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,39904.834,40072.424,50.631666,2020-02-16 22:56:26,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,40322.6,40494.064,50.537333,2020-02-16 21:55:16,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,41110.896,41287.456,50.484,2020-02-16 20:59:16,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,41642.519,41823.2,50.413,2020-02-16 19:59:47,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42204.86,42393.656,50.142666,2020-02-16 18:59:56,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42877.686,43067.877,50.257666,2020-02-16 17:59:56,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,43450.772,43645.512,50.182,2020-02-16 16:59:16,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,43791.975,43993.145,49.953333,2020-02-16 15:59:46,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,44646.358,44850.268,50.045,2020-02-16 14:59:06,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,45312.695,45522.507,49.934666,2020-02-16 13:59:26,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,46222.417,46438.781,49.856333,2020-02-16 12:59:26,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,44014.426,44215.086,50.033333,2020-02-16 11:59:26,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,41424.173,41611.361,50.017333,2020-02-16 10:59:36,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,42589.78,42784.386,49.952,2020-02-16 09:58:16,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,43148.782,43355.39,49.495333,2020-02-16 08:58:46,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,43904.575,44109.019,49.805333,2020-02-16 07:57:06,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,44354.394,44562.048,49.763666,2020-02-16 06:58:56,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,44553.457,44762.593,49.742,2020-02-16 05:58:46,2020-02-16,1748.8631360946745,3869415.7369614514
Jumbo 663,DSL,44868.202,45079.992,49.694,2020-02-16 04:55:16,2020-02-16,1748.8631360946745,3869415.7369614514
