Date,Total_sales
2018-11-04,11076.25
2018-11-05,28591.55
2018-11-06,31052.52
2018-11-07,30822.28
2018-11-08,32743.75
2018-11-09,28151.59
2018-11-10,14396.21
2018-11-11,13812.28
2018-11-12,25801.010000000002
2018-11-13,35453.08
2018-11-14,36722.47
2018-11-15,33249.73
2018-11-16,27258.76
2018-11-17,15581.57
2018-11-18,15839.43
2018-11-19,30697.85
2018-11-20,34951.31
2018-11-21,26489.74
2018-11-22,10435.26
2018-11-23,11535.64
2018-11-24,7713.95
2018-11-25,11921.95
2018-11-26,30239.2
2018-11-27,36560.25
2018-11-28,34241.42
2018-11-29,35138.38
2018-11-30,27487.760000000002
2018-12-01,16394.13
2018-12-02,15934.1
2018-12-03,31850.45
2018-12-04,34541.66
2018-12-05,34837.92
2018-12-06,32486.3
2018-12-07,26905.13
2018-12-08,15142.19
2018-12-09,13740.7
2018-12-10,24167.97
2018-12-11,33288.29
2018-12-12,32502.489999999998
2018-12-13,35519.58
2018-12-14,29600.7
2018-12-15,18803.079999999998
2018-12-16,15322.38
2018-12-17,27154.66
2018-12-18,33572.46
2018-12-19,35317.02
2018-12-20,34251.9
2018-12-21,27902.16
2018-12-22,14129.79
2018-12-23,7530.09
2018-12-24,4505.89
2018-12-25,4810.92
2018-12-26,15405.7
2018-12-27,23150.73
2018-12-28,17645.81
2018-12-29,13107.5
2018-12-30,7130.94
2018-12-31,9076.54
2019-01-01,11049.66
2019-01-02,21511.09
2019-01-03,32328.25
2019-01-04,23071.760000000002
2019-01-05,15005.63
2019-01-06,12140.24
2019-01-07,24636.06
2019-01-08,32479.08
2019-01-09,35537.79
2019-01-10,36515.1
2019-01-11,29088.88
2019-01-12,14214.44
2019-01-13,12924.31
2019-01-14,28758.43
2019-01-15,35280.49
2019-01-16,34676.93
2019-01-17,30907.46
2019-01-18,28363.739999999998
2019-01-19,14616.19
2019-01-20,13486.47
2019-01-21,28473.2
2019-01-22,32636.75
2019-01-23,30350.79
2019-01-24,31979.87
2019-01-25,26524.23
2019-01-26,15574.52
2019-01-27,13575.67
2019-01-28,24936.55
2019-01-29,35882.65
2019-01-30,36134.76
2019-01-31,33996.65
2019-02-01,31088.76
2019-02-02,14818.47
2019-02-03,12555.62
2019-02-04,26908.83
2019-02-05,27582.29
