,Date,Temp-F
214,2020-01-01,47.5
215,2020-01-02,45.5
216,2020-01-03,52.5
217,2020-01-04,50.0
218,2020-01-05,45.0
219,2020-01-06,50.0
220,2020-01-07,51.5
221,2020-01-08,47.5
222,2020-01-09,47.5
223,2020-01-10,55.5
224,2020-01-11,65.5
225,2020-01-12,59.5
226,2020-01-13,63.0
227,2020-01-14,61.0
228,2020-01-15,63.5
229,2020-01-16,61.5
230,2020-01-17,46.5
231,2020-01-18,43.0
232,2020-01-19,43.5
233,2020-01-20,36.0
234,2020-01-21,35.0
235,2020-01-22,36.0
236,2020-01-23,43.0
237,2020-01-24,45.0
238,2020-01-25,45.0
239,2020-01-26,46.0
240,2020-01-27,49.5
241,2020-01-28,49.5
242,2020-01-29,43.0
243,2020-01-30,47.0
244,2020-01-31,39.5
245,2020-02-01,47.5
246,2020-02-02,52.5
247,2020-02-03,59.0
248,2020-02-04,60.0
249,2020-02-05,63.0
250,2020-02-06,64.0
251,2020-02-07,44.5
252,2020-02-08,32.0
253,2020-02-09,40.0
254,2020-02-10,43.5
255,2020-02-11,63.5
256,2020-02-12,62.5
257,2020-02-13,58.0
258,2020-02-14,49.0
259,2020-02-15,45.0
260,2020-02-16,40.5
261,2020-02-17,49.5
262,2020-02-18,56.5
263,2020-02-19,54.0
264,2020-02-20,43.5
265,2020-02-21,41.5
266,2020-02-22,42.0
267,2020-02-23,47.0
268,2020-02-24,48.0
269,2020-02-25,59.0
270,2020-02-26,50.0
271,2020-02-27,43.0
272,2020-02-28,43.5
273,2020-02-29,45.0
